STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,INTPTLAT10,INTPTLON10,State,COUNTY,HH_COUNT,OHU_OWN,OHU_RENT,PERC_OWN,PERC_RENT,MHI,MED_VAL,HOUSINGCOS,MCR_ANNUAL,MSMOC_TOT_,TAX_RET,Avg_TransC,REtaxperow,DISP_INC,energy_cos,REtax_ACS,AVG_TTL,LOCALNAME,Shape_Area,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,state_2,county_2,ST_FIPS,CTY_FIPS,URL,shape_ar_1,SHAPE_LEN
36,085,001700,36085001700,+40.6343907,-074.0812548,New York,Richmond County,600,273,275,0.49817518248,0.50182481752,54071.00000000000,466900.00000000000,17457.59120000000,10248.00000000000,24720.00000000000,633.77309849400,7671.29068240000,2540.97805495000,19545.85856260000,1910.55791208000,3140,7485.70164292000,Tompkinsville,0.00003231365,10304,0,Staten Island,41502.00000000,98226679.79732800,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,001700,36085001700,+40.6343907,-074.0812548,New York,Richmond County,600,273,275,0.49817518248,0.50182481752,54071.00000000000,466900.00000000000,17457.59120000000,10248.00000000000,24720.00000000000,633.77309849400,7671.29068240000,2540.97805495000,19545.85856260000,1910.55791208000,3140,7485.70164292000,Tompkinsville,0.00003231365,10301,0,Staten Island,40438.00000000,105182712.64956801,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,000600,36085000600,+40.6181527,-074.0626420,New York,Richmond County,1236,485,705,0.40756302521,0.59243697479,43712.00000000000,386100.00000000000,13943.74790000000,7620.00000000000,23136.00000000000,1585.03105975000,6201.61377280000,3438.33502206000,17043.55740310000,1665.73598196000,2422,4857.34494211000,Rosebank,0.00008274889,10304,0,Staten Island,41502.00000000,98226679.79732800,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,000600,36085000600,+40.6181527,-074.0626420,New York,Richmond County,1236,485,705,0.40756302521,0.59243697479,43712.00000000000,386100.00000000000,13943.74790000000,7620.00000000000,23136.00000000000,1585.03105975000,6201.61377280000,3438.33502206000,17043.55740310000,1665.73598196000,2422,4857.34494211000,Rosebank,0.00008274889,10305,0,Staten Island,41746.00000000,111441829.31770800,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,000700,36085000700,+40.6473695,-074.0782043,New York,Richmond County,2129,370,1810,0.16972477064,0.83027522936,39191.00000000000,168700.00000000000,10862.03670000000,10860.00000000000,10872.00000000000,2383.62544311000,5560.19961040000,6733.07833243000,15691.17506650000,1607.44095264000,1182,5470.14767043000,New Brighton,0.00005536763,10310,0,Staten Island,25003.00000000,53463275.00249210,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,000700,36085000700,+40.6473695,-074.0782043,New York,Richmond County,2129,370,1810,0.16972477064,0.83027522936,39191.00000000000,168700.00000000000,10862.03670000000,10860.00000000000,10872.00000000000,2383.62544311000,5560.19961040000,6733.07833243000,15691.17506650000,1607.44095264000,1182,5470.14767043000,New Brighton,0.00005536763,10301,0,Staten Island,40438.00000000,105182712.64956801,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,001800,36085001800,+40.6019091,-074.0537589,New York,Richmond County,214,0,310,0.00000000000,1,51346.00000000000,0.00000000000,14832.00000000000,14832.00000000000,0.00000000000,726.81074363000,7284.68294240000,0.00000000000,21418.08526930000,2126.52157116000,0,5684.71021716000,Arrochar,0.00009597896,10305,0,Staten Island,41746.00000000,111441829.31770800,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,000300,36085000300,+40.6446304,-074.0719887,New York,Richmond County,936,326,558,0.36877828054,0.63122171946,46731.00000000000,345800.00000000000,15459.82810000000,11508.00000000000,22224.00000000000,1643.69005418000,6629.93258640000,5269.62494018000,16887.39617720000,1231.28768268000,2932,6522.55545372000,New Brighton-St. George,0.00004123552,10301,0,Staten Island,40438.00000000,105182712.64956801,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,000800,36085000800,+40.6119576,-074.0677150,New York,Richmond County,1877,1170,762,0.60559006211,0.39440993789,63750.00000000000,403100.00000000000,20757.57760000000,12960.00000000000,25836.00000000000,2458.03355658000,9044.49300000000,2205.43409897000,24619.90632700000,2270.01901536000,2271,7058.00405765000,Rosebank,0.00008503705,10304,0,Staten Island,41502.00000000,98226679.79732800,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,000800,36085000800,+40.6119576,-074.0677150,New York,Richmond County,1877,1170,762,0.60559006211,0.39440993789,63750.00000000000,403100.00000000000,20757.57760000000,12960.00000000000,25836.00000000000,2458.03355658000,9044.49300000000,2205.43409897000,24619.90632700000,2270.01901536000,2271,7058.00405765000,Rosebank,0.00008503705,10305,0,Staten Island,41746.00000000,111441829.31770800,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
36,085,000900,36085000900,+40.6422065,-074.0828564,New York,Richmond County,788,316,377,0.45598845599,0.54401154401,56192.00000000000,463700.00000000000,19705.50650000000,10956.00000000000,30144.00000000000,856.47796134000,7972.20628480000,2832.73852089000,18522.67278360000,2148.52449012000,1929,7843.08994148000,New Brighton,0.00002468535,10301,0,Staten Island,40438.00000000,105182712.64956801,NY,Richmond,36,085,http://www.usps.com/,0.000000000000000,0.00000000000
